,0,label
78,"[1, 693, 0]",210
79,"[1, 143, 0]",210
80,"[1, 32, 0]",210
81,"[1, 201, 0]",210
82,"[1, 201, 0]",210
83,"[1, 201, 0]",210
84,"[1, 32, 0]",210
85,"[1, 20, 0]",210
86,"[1, 201, 0]",210
87,"[1, 201, 0]",210
88,"[1, 693, 0]",210
89,"[1, 693, 0]",210
90,"[1, 532, 0]",210
91,"[1, 641, 0]",210
92,"[1, 254, 0]",210
93,"[1, 20, 0]",210
94,"[1, 20, 0]",210
95,"[1, 438, 0]",210
96,"[1, 546, 0]",210
97,"[1, 641, 0]",210
98,"[1, 1380, 0]",210
99,"[1, 98, 0]",210
100,"[1, 32, 0]",211
101,"[1, 32, 0]",211
102,"[1, 32, 0]",211
103,"[1, 32, 0]",211
104,"[1, 32, 0]",211
105,"[1, 32, 0]",211
106,"[1, 32, 0]",211
107,"[1, 32, 0]",211
108,"[1, 32, 0]",211
109,"[1, 32, 0]",211
110,"[1, 32, 0]",211
111,"[1, 32, 0]",211
112,"[1, 32, 0]",211
113,"[1, 32, 0]",211
114,"[1, 32, 0]",211
115,"[1, 32, 0]",211
116,"[1, 32, 0]",211
117,"[1, 32, 0]",211
118,"[1, 32, 0]",211
119,"[1, 32, 0]",211
120,"[1, 150, 0]",211
121,"[1, 150, 0]",211
122,"[1, 150, 0]",211
123,"[1, 219, 0]",211
124,"[1, 150, 0]",211
125,"[1, 159, 0]",211
126,"[1, 150, 0]",211
127,"[1, 143, 0]",211
128,"[1, 143, 0]",211
129,"[1, 143, 0]",211
130,"[1, 438, 0]",211
131,"[1, 201, 0]",211
132,"[1, 254, 0]",211
133,"[1, 143, 0]",211
134,"[1, 20, 0]",211
135,"[1, 84, 0]",211
136,"[1, 1380, 0]",211
137,"[1, 20, 0]",211
138,"[1, 20, 0]",211
139,"[1, 32, 0]",211
140,"[1, 641, 0]",211
141,"[1, 201, 0]",211
142,"[1, 201, 0]",211
143,"[1, 254, 0]",211
144,"[1, 192, 0]",211
145,"[1, 20, 0]",211
146,"[1, 192, 0]",211
147,"[1, 32, 0]",211
148,"[1, 201, 0]",211
149,"[1, 32, 0]",211
150,"[1, 251, 0]",211
151,"[1, 1380, 0]",211
152,"[1, 641, 0]",211
153,"[1, 20, 0]",211
154,"[1, 20, 0]",211
155,"[1, 1380, 0]",211
156,"[1, 20, 0]",211
157,"[1, 143, 0]",211
158,"[1, 254, 0]",211
159,"[1, 1380, 0]",211
160,"[1, 201, 0]",211
161,"[1, 254, 0]",211
162,"[1, 98, 0]",211
163,"[1, 143, 0]",211
164,"[1, 192, 0]",211
165,"[1, 20, 0]",211
166,"[1, 20, 0]",211
167,"[1, 1380, 0]",211
168,"[1, 254, 0]",211
169,"[1, 641, 0]",211
170,"[1, 641, 0]",211
171,"[1, 201, 0]",211
172,"[1, 143, 0]",211
173,"[1, 143, 0]",211
174,"[1, 252, 0]",211
175,"[1, 20, 0]",211
176,"[1, 1305, 0]",211
177,"[1, 254, 0]",211
178,"[1, 641, 0]",211
179,"[1, 201, 0]",211
180,"[1, 254, 0]",211
181,"[1, 20, 0]",211
182,"[1, 192, 0]",211
183,"[1, 20, 0]",211
184,"[1, 201, 0]",211
185,"[1, 192, 0]",211
186,"[1, 32, 0]",211
187,"[1, 201, 0]",211
188,"[1, 32, 0]",211
189,"[1, 251, 0]",211
190,"[1, 1380, 0]",211
191,"[1, 641, 0]",211
192,"[1, 20, 0]",211
193,"[1, 32, 0]",211
194,"[1, 20, 0]",211
195,"[1, 1380, 0]",211
196,"[1, 20, 0]",211
197,"[1, 143, 0]",211
198,"[1, 252, 0]",211
199,"[1, 254, 0]",211
200,"[1, 20, 0]",220
201,"[1, 140, 0]",220
202,"[1, 133, 0]",220
203,"[1, 20, 0]",220
204,"[1, 140, 0]",220
205,"[1, 133, 0]",220
206,"[1, 133, 0]",220
207,"[1, 133, 0]",220
208,"[1, 133, 0]",220
209,"[1, 20, 0]",220
210,"[1, 133, 0]",220
211,"[1, 133, 0]",220
212,"[1, 20, 0]",220
213,"[1, 140, 0]",220
214,"[1, 20, 0]",220
215,"[1, 20, 0]",220
216,"[1, 140, 0]",220
217,"[1, 133, 0]",220
218,"[1, 32, 0]",220
219,"[1, 32, 0]",220
220,"[1, 140, 0]",220
221,"[1, 133, 0]",220
222,"[1, 20, 0]",220
223,"[1, 20, 0]",220
224,"[1, 133, 0]",220
225,"[1, 133, 0]",220
226,"[1, 140, 0]",220
227,"[1, 32, 0]",220
228,"[0, 40, 0]",220
229,"[1, 40, 0]",220
230,"[0, 40, 0]",220
231,"[1, 40, 0]",220
232,"[0, 40, 0]",220
233,"[0, 552, 0]",220
234,"[0, 40, 0]",220
235,"[0, 40, 0]",220
236,"[0, 40, 0]",220
237,"[0, 40, 0]",220
238,"[0, 552, 0]",220
239,"[0, 40, 0]",220
240,"[0, 40, 0]",220
241,"[0, 40, 0]",220
242,"[0, 40, 0]",220
243,"[1, 40, 0]",220
244,"[0, 40, 0]",220
245,"[0, 40, 0]",220
246,"[0, 40, 0]",220
247,"[0, 40, 0]",220
248,"[0, 40, 0]",220
249,"[0, 40, 0]",220
250,"[0, 40, 0]",220
251,"[0, 40, 0]",220
252,"[0, 40, 0]",220
253,"[0, 40, 0]",220
254,"[0, 40, 0]",220
255,"[0, 40, 0]",220
256,"[0, 40, 0]",220
257,"[0, 40, 0]",220
258,"[0, 40, 0]",220
259,"[0, 40, 0]",220
260,"[0, 40, 0]",220
261,"[0, 40, 0]",220
262,"[0, 40, 0]",220
263,"[0, 40, 0]",220
264,"[0, 40, 0]",220
265,"[0, 40, 0]",220
266,"[0, 40, 0]",220
267,"[0, 40, 0]",220
268,"[0, 40, 0]",220
269,"[0, 40, 0]",220
270,"[0, 40, 0]",220
271,"[0, 40, 0]",220
272,"[0, 40, 0]",220
273,"[0, 40, 0]",220
274,"[0, 40, 0]",220
275,"[0, 40, 0]",220
276,"[0, 40, 0]",220
277,"[0, 40, 0]",220
278,"[0, 40, 0]",220
279,"[0, 40, 0]",220
280,"[0, 1500, 0]",220
281,"[0, 40, 0]",220
282,"[0, 40, 0]",220
283,"[0, 40, 0]",220
284,"[0, 40, 0]",220
285,"[0, 40, 0]",220
286,"[0, 212, 0]",220
