,0,1,2,3,4,label
1056,"[1, 64, 0]","[0, 60, 60]","[1, 52, 60]","[1, 569, 61]","[0, 52, 123]",420
1057,"[1, 64, 0]","[0, 60, 90]","[1, 52, 90]","[1, 569, 94]","[0, 52, 158]",420
1058,"[1, 64, 0]","[0, 60, 63]","[1, 52, 63]","[1, 569, 64]","[0, 52, 119]",420
1059,"[1, 64, 0]","[0, 60, 56]","[1, 52, 56]","[1, 569, 58]","[0, 52, 112]",420
1060,"[1, 64, 0]","[0, 60, 57]","[1, 52, 57]","[1, 569, 58]","[0, 52, 115]",420
1061,"[1, 64, 0]","[0, 60, 53]","[1, 52, 53]","[1, 629, 55]","[0, 52, 113]",420
1062,"[1, 64, 0]","[0, 60, 59]","[1, 52, 59]","[1, 629, 60]","[0, 52, 114]",420
1063,"[1, 64, 0]","[0, 60, 54]","[1, 52, 54]","[1, 569, 54]","[0, 52, 111]",420
1064,"[1, 64, 0]","[0, 60, 54]","[1, 52, 55]","[1, 569, 57]","[0, 52, 112]",420
1065,"[1, 64, 0]","[0, 60, 62]","[1, 52, 63]","[1, 570, 63]","[0, 52, 118]",420
1066,"[1, 64, 0]","[0, 60, 54]","[1, 52, 55]","[1, 569, 57]","[0, 52, 111]",420
1067,"[1, 64, 0]","[0, 60, 57]","[1, 52, 57]","[1, 569, 58]","[0, 52, 115]",420
1068,"[1, 64, 0]","[0, 60, 78]","[1, 52, 78]","[1, 569, 79]","[0, 52, 132]",420
1069,"[1, 64, 0]","[0, 60, 52]","[1, 52, 52]","[1, 629, 53]","[0, 52, 113]",420
1070,"[1, 64, 0]","[0, 60, 53]","[1, 52, 53]","[1, 629, 54]","[0, 52, 109]",420
1071,"[1, 64, 0]","[0, 60, 56]","[1, 52, 57]","[1, 569, 57]","[0, 52, 111]",420
1072,"[1, 64, 0]","[0, 60, 52]","[1, 52, 52]","[1, 569, 53]","[0, 52, 104]",420
1073,"[1, 64, 0]","[0, 60, 55]","[1, 52, 55]","[1, 570, 56]","[0, 52, 112]",420
1074,"[1, 64, 0]","[0, 60, 54]","[1, 52, 54]","[1, 569, 55]","[0, 52, 110]",420
1075,"[1, 64, 0]","[0, 60, 51]","[1, 52, 51]","[1, 629, 52]","[0, 52, 103]",420
1076,"[1, 64, 0]","[0, 60, 54]","[1, 52, 54]","[1, 569, 55]","[0, 52, 109]",420
1077,"[1, 64, 0]","[0, 60, 54]","[1, 52, 54]","[1, 661, 55]","[0, 52, 109]",420
1078,"[1, 64, 0]","[0, 60, 55]","[1, 52, 55]","[1, 569, 56]","[0, 52, 110]",420
1079,"[1, 64, 0]","[0, 60, 51]","[1, 52, 51]","[1, 661, 52]","[0, 52, 103]",420
1080,"[1, 64, 0]","[0, 60, 59]","[1, 52, 59]","[1, 661, 60]","[0, 52, 119]",420
1081,"[1, 64, 0]","[1, 64, 106]","[0, 60, 205]","[1, 52, 206]","[1, 569, 206]",420
1082,"[1, 64, 0]","[0, 60, 52]","[1, 52, 52]","[1, 569, 52]","[0, 52, 104]",420
1083,"[1, 64, 0]","[0, 60, 56]","[1, 52, 56]","[1, 569, 56]","[0, 52, 110]",420
1084,"[1, 64, 0]","[0, 60, 72]","[1, 52, 72]","[1, 570, 72]","[0, 52, 129]",420
1085,"[1, 64, 0]","[0, 60, 55]","[1, 52, 55]","[1, 569, 55]","[0, 52, 109]",420
1086,"[1, 64, 0]","[0, 60, 58]","[1, 52, 58]","[1, 597, 58]","[0, 52, 115]",420
1087,"[1, 64, 0]","[0, 60, 52]","[1, 52, 52]","[1, 569, 52]","[0, 52, 114]",420
1088,"[1, 64, 0]","[0, 60, 79]","[1, 52, 79]","[1, 569, 79]","[0, 52, 136]",420
1089,"[1, 64, 0]","[0, 60, 54]","[1, 52, 54]","[1, 570, 55]","[0, 52, 108]",420
1090,"[1, 64, 0]","[0, 60, 54]","[1, 52, 54]","[1, 569, 55]","[0, 52, 110]",420
1091,"[1, 64, 0]","[0, 60, 60]","[1, 52, 61]","[1, 569, 61]","[0, 52, 115]",420
1092,"[1, 64, 0]","[0, 60, 60]","[1, 52, 60]","[1, 569, 60]","[0, 52, 120]",420
1093,"[1, 64, 0]","[0, 60, 52]","[1, 52, 52]","[1, 597, 52]","[0, 52, 105]",420
1094,"[1, 64, 0]","[0, 60, 55]","[1, 52, 55]","[1, 597, 56]","[0, 52, 112]",420
1095,"[1, 64, 0]","[0, 60, 54]","[1, 52, 54]","[1, 661, 56]","[0, 52, 111]",420
1096,"[1, 64, 0]","[0, 60, 53]","[1, 52, 53]","[1, 570, 54]","[0, 52, 109]",420
1097,"[1, 64, 0]","[0, 60, 86]","[1, 52, 86]","[1, 629, 87]","[0, 52, 141]",420
1098,"[1, 64, 0]","[0, 60, 54]","[1, 52, 54]","[1, 569, 55]","[0, 52, 110]",420
1099,"[1, 64, 0]","[0, 60, 64]","[1, 52, 64]","[1, 629, 65]","[0, 52, 128]",420
1100,"[1, 64, 0]","[0, 60, 44]","[1, 52, 45]","[1, 1420, 45]","[1, 451, 45]",421
1101,"[1, 64, 0]","[0, 60, 46]","[1, 52, 46]","[1, 1420, 47]","[1, 483, 47]",421
1102,"[1, 64, 0]","[0, 60, 46]","[1, 52, 46]","[1, 1420, 47]","[1, 515, 47]",421
1103,"[1, 64, 0]","[0, 60, 46]","[1, 52, 46]","[1, 1420, 47]","[1, 515, 47]",421
1104,"[1, 64, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1420, 46]","[1, 658, 46]",421
1105,"[1, 64, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1420, 47]","[1, 451, 47]",421
1106,"[1, 64, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1420, 51]","[1, 419, 51]",421
1107,"[1, 64, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1420, 50]","[1, 515, 50]",421
1108,"[1, 64, 0]","[0, 60, 44]","[1, 52, 44]","[1, 1420, 50]","[1, 483, 50]",421
1109,"[1, 64, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1420, 46]","[1, 419, 46]",421
1110,"[1, 64, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1420, 46]","[1, 451, 46]",421
1111,"[1, 64, 0]","[0, 60, 45]","[1, 52, 45]","[1, 1420, 47]","[1, 515, 47]",421
