,0,1,2,3,4,5,6,7,8,9,label
93,"[1, 20, 0]","[1, 1380, 0]","[1, 1380, 0]","[1, 525, 0]","[0, 20, 0]","[0, 84, 9]","[0, 190, 10]","[0, 407, 10]","[1, 532, 20]","[0, 51, 20]",210
94,"[1, 20, 0]","[0, 201, 17]","[0, 115, 21]","[0, 55, 22]","[0, 91, 23]","[0, 55, 23]","[1, 20, 70]","[1, 20, 70]","[1, 20, 70]","[1, 20, 70]",210
95,"[1, 438, 0]","[0, 192, 47]","[0, 1380, 47]","[0, 51, 47]","[0, 1380, 47]","[0, 51, 47]","[0, 474, 47]","[0, 61, 47]","[0, 51, 47]","[0, 51, 47]",210
96,"[1, 546, 0]","[1, 192, 0]","[0, 32, 0]","[0, 32, 0]","[1, 1380, 13]","[0, 32, 13]","[1, 51, 14]","[1, 1380, 14]","[1, 51, 14]","[0, 32, 14]",210
97,"[1, 641, 0]","[0, 32, 53]","[0, 541, 53]","[1, 51, 55]","[0, 192, 63]","[0, 1380, 63]","[0, 51, 63]","[0, 1380, 63]","[0, 51, 63]","[0, 484, 63]",210
98,"[1, 1380, 0]","[0, 20, 12]","[0, 20, 12]","[0, 20, 12]","[0, 20, 12]","[0, 182, 12]","[0, 314, 12]","[0, 51, 12]","[0, 51, 12]","[0, 20, 12]",210
99,"[1, 98, 0]","[0, 78, 31]","[0, 1380, 32]","[0, 1380, 32]","[0, 179, 32]","[0, 51, 32]","[1, 20, 32]","[1, 143, 35]","[1, 1147, 35]","[0, 20, 56]",210
100,"[1, 32, 0]","[0, 32, 79]","[1, 20, 80]","[1, 1915, 81]","[0, 32, 166]","[0, 20, 222]","[0, 1380, 228]","[0, 1380, 228]","[1, 20, 228]","[0, 1380, 229]",211
101,"[1, 32, 0]","[0, 32, 73]","[1, 20, 73]","[1, 1915, 74]","[0, 32, 155]","[0, 20, 155]","[0, 1380, 157]","[0, 1380, 157]","[0, 1380, 157]","[0, 247, 157]",211
102,"[1, 32, 0]","[0, 32, 73]","[1, 20, 73]","[1, 1915, 73]","[0, 32, 149]","[1, 1380, 227]","[0, 40, 305]","[0, 32, 347]","[0, 1380, 351]","[0, 1380, 351]",211
103,"[1, 32, 0]","[0, 32, 78]","[1, 20, 78]","[1, 1915, 79]","[0, 32, 161]","[0, 20, 164]","[0, 1380, 171]","[0, 1380, 171]","[0, 1380, 171]","[0, 246, 171]",211
